"person","birthYear","interest"
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Libertarian_socialism
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Ecology
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Economics
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Philosophy_of_history
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Ontology
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Sovietology
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Philosophy_of_science
http://dbpedia.org/resource/Cornelius_Castoriadis,1922,http://dbpedia.org/resource/Social_criticism
http://dbpedia.org/resource/Craig_Hanks,1961,http://dbpedia.org/resource/Applied_philosophy
http://dbpedia.org/resource/Craig_Hanks,1961,http://dbpedia.org/resource/Critical_theory
http://dbpedia.org/resource/Craig_Hanks,1961,http://dbpedia.org/resource/Philosophy_of_technology
http://dbpedia.org/resource/Masoud_Ahmadzadeh,1946,http://dbpedia.org/resource/Communism
http://dbpedia.org/resource/Masoud_Ahmadzadeh,1946,http://dbpedia.org/resource/Modernity
http://dbpedia.org/resource/Masoud_Ahmadzadeh,1946,http://dbpedia.org/resource/Marxism
http://dbpedia.org/resource/Masoud_Ahmadzadeh,1946,http://dbpedia.org/resource/Small_Engine_Diffusion
http://dbpedia.org/resource/Matthew_Kramer,1959,http://dbpedia.org/resource/Normative_ethics
http://dbpedia.org/resource/Matthew_Kramer,1959,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Matthew_Kramer,1959,http://dbpedia.org/resource/Metaethics
http://dbpedia.org/resource/Matthew_Kramer,1959,http://dbpedia.org/resource/Legal_philosophy
http://dbpedia.org/resource/Maurice_Merleau-Ponty,1908,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Max_Horkheimer,1895,http://dbpedia.org/resource/Counter-Enlightenment
http://dbpedia.org/resource/Max_Horkheimer,1895,http://dbpedia.org/resource/Social_theory
http://dbpedia.org/resource/Claude_Lefort,1924,http://dbpedia.org/resource/Phenomenology_(philosophy)
http://dbpedia.org/resource/Claude_Lefort,1924,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Claude_Lefort,1924,http://dbpedia.org/resource/Totalitarianism
http://dbpedia.org/resource/Elizabeth_S._Anderson,1959,http://dbpedia.org/resource/Epistemic_injustice
